Museum Name	Legal Name	Museum Type	Latitude	Longitude	Income	Revenue
ALASKA AVIATION HERITAGE MUSEUM	ALASKA AVIATION HERITAGE MUSEUM	HISTORY MUSEUM	61.17925	-149.97254	602912.0	550236.0
ALASKA BOTANICAL GARDEN	ALASKA BOTANICAL GARDEN INC	ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER	61.1689	-149.76708	1379576.0	1323742.0
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY	ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INC	SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM	60.56149	-151.21598	740030.0	729080.0
ALASKA EDUCATORS HISTORICAL SOCIETY	ALASKA EDUCATORS HISTORICAL SOCIETY	HISTORIC PRESERVATION	60.5628	-151.26597	0.0	0.0
ALASKA HERITAGE MUSEUM	ALASKA AVIATION HERITAGE MUSEUM	HISTORY MUSEUM	61.17925	-149.97254	602912.0	550236.0
ALASKA JEWISH MUSEUM	ALASKA JEWISH HISTORICAL MUSEUM AND CULTURAL CENTER	GENERAL MUSEUM	61.18946	-149.86071	2658938.0	34374.0
ALASKA LIGHTHOUSE ASSOCIATION	ALASKA LIGHTHOUSE ASSOCIATION	HISTORIC PRESERVATION	58.28299	-134.40583	16500.0	16500.0
ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION	ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION	GENERAL MUSEUM	61.21833	-149.89456	0.0	0.0
ALASKA MINING HALL OF FAME FOUNDATION	ALASKA MINING HALL OF FAME FOUNDATION	HISTORY MUSEUM	64.85079	-147.82945	184295.0	31393.0
ALASKA NATIVE HERITAGE CENTER	ALASKA NATIVE HERITAGE CENTER INC	GENERAL MUSEUM	61.23361	-149.71566	4502727.0	4050394.0
ALASKA SPORTS HALL OF FAME	ALASKA SPORTS HALL OF FAME INC	GENERAL MUSEUM	61.08741	-149.6926	1370930.0	615273.0
